gene,degree_centrality,betweenness_centrality,eigenvector_centrality,composite_score
DIPK1B,0.9729729729729729,1.0,0.8973488388188143,0.9567739372639291
AFP,1.0,0.013703534969373508,0.9925984825316658,0.6687673391670131
FAM181A,1.0,0.002249197764686857,1.0,0.6674163992548956
GS1-600G8.3,1.0,0.002249197764686857,1.0,0.6674163992548956
DEFB123,1.0,0.002249197764686857,1.0,0.6674163992548956
DEFA4,1.0,0.002249197764686857,1.0,0.6674163992548956
DCST1,1.0,0.002249197764686857,1.0,0.6674163992548956
IL12A,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
CACNA1F,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
HAPSTR2,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
ATXN3L,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
B4GALNT2,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
AFM,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
ANKRD34C,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
C19orf84,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
ANOS2P,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
IFNA5,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
CASC17,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
CATSPER1,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
IFNA7,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
AQP8,1.0,0.009701856208617448,0.9922261193539335,0.667309325187517
CT83,0.9864864864864864,0.013327823967272522,0.9844406922379143,0.6614183342305577
FSCN3,0.9864864864864864,0.013327823967272522,0.9844406922379143,0.6614183342305577
IFNA21,0.9864864864864864,0.0018663736811742944,0.9924146360459553,0.6602558320712053
DNAJB8-AS1,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CMTM5,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CHRM4,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
ALAS2,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
GCM1,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
C17orf50,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
DEFB118,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CCIN,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CSN1S2AP,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
DCD,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
GPM6A-DT,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
GPX5,0.9864864864864864,0.002203802600372899,0.9918422097062483,0.6601774995977024
FOXN3-AS2,0.9864864864864864,0.002203802600372899,0.9918422097062483,0.6601774995977024
CBLL2,0.9864864864864864,0.002203802600372899,0.991842209706248,0.6601774995977024
APOA5,0.9864864864864864,0.002203802600372899,0.991842209706248,0.6601774995977024
BPIFC,0.9864864864864864,0.002203802600372899,0.991842209706248,0.6601774995977024
FSHR,0.9864864864864864,0.002203802600372899,0.9918422097062483,0.6601774995977024
ADRA1B,0.9864864864864864,0.0018591063597179311,0.9916510154147994,0.6599988694203346
FLJ16779,0.9864864864864864,0.0018591063597179311,0.9916510154147994,0.6599988694203346
CRB2,0.9864864864864864,0.0018591063597179311,0.9916510154147994,0.6599988694203346
APOB,0.9729729729729729,0.0018232684116591693,0.9842568457522033,0.6530176957122785
GS1-279B7.1,0.9729729729729729,0.0018232684116591693,0.9842568457522035,0.6530176957122785
GUCA2B,0.9729729729729729,0.0014783960252504427,0.9840656514607546,0.6528390068196593
CRNN,0.9729729729729729,0.0014783960252504427,0.9840656514607546,0.6528390068196593
CCL16,0.9729729729729729,0.0018155431112430395,0.9834932251210479,0.6527605804017546
DPP10-AS3,0.9729729729729729,0.0018155431112430395,0.9834932251210479,0.6527605804017546
FRMD8P1,0.9729729729729729,0.0018155431112430395,0.9834932251210479,0.6527605804017546
EVA1A-AS,0.9729729729729729,0.0021892645543372716,0.9802401485822672,0.6518007953698591
CHAT,0.9729729729729729,0.0016436789630499059,0.9803940109144158,0.6516702209501463
CARD18,0.9729729729729729,0.009059311369890657,0.9728113245597987,0.6516145363008875
DLGAP2-AS1,0.9594594594594594,0.01241365317005243,0.9652532671598885,0.6457087932631335
FLRT2-AS1,0.9594594594594594,0.0014371226715743847,0.9759078611670032,0.6456014810993457
CMTM2,0.9594594594594594,0.0012694323415854299,0.9728086469603711,0.644512512920472
C9orf43,0.9594594594594594,0.0012694323415854299,0.9728086469603711,0.644512512920472
CSNK1G2-AS1,0.9594594594594594,0.00869759603730037,0.9648809039821564,0.644345986492972
DEFB121,0.9594594594594594,0.0001526000111935894,0.9677572204013091,0.6424564266239874
GLYCTK-AS1,0.945945945945946,0.00010159923497764104,0.9601718564472642,0.635406467209396
FNDC7,0.9324324324324326,4.1589885902402026e-05,0.9518228718620637,0.6280989647267995
CXCR1,0.9054054054054055,0.0007919908683495132,0.9271386015005845,0.6111119992581132
FRMD1,0.9054054054054055,0.0013679371362345552,0.9218286047594489,0.6095339824336964
HTR3C,0.8918918918918919,6.121754914881692e-06,0.9151857360216545,0.6023612498894871
EIF2AK3,0.8918918918918919,0.0005836029355940496,0.9145754489419966,0.6023503145898275
DLGAP3,0.8918918918918919,0.0013502329691747663,0.9097623981221619,0.6010015076610762
GPR199P,0.8918918918918919,0.0006133987416835782,0.9099098250746642,0.6008050385694133
GPR32,0.8783783783783784,5.1137361949709904e-05,0.8979818766622382,0.5921371308008555
GALR3,0.8513513513513513,0.0,0.8768094779159539,0.5760536097557684
CHCHD3,0.8108108108108109,1.704210167593248e-06,0.8340299124456175,0.548280809155532
DSPP,0.7972972972972974,0.01383695980238776,0.8092252396781204,0.5401198322592685
CT47A12,0.581081081081081,8.723408757460208e-07,0.60017826744761,0.3937534069565223
CAPN10,0.5675675675675675,0.0,0.5864337757461551,0.3846671144379075
GRK1,0.5270270270270271,0.0,0.5452843213109956,0.3574371161126742
FAM107A,0.33783783783783783,0.6612302653672798,0.012956748723866355,0.33734161730966133
