gene,log2FC,pvalue,adjusted_pvalue
ABCA3,1.2023947511634026,0.00026656520745742257,0.004134530344297379
ABCC4,1.1211127786909825,2.0631663253245683e-05,0.000648462540347621
ABCC6P2,-1.09425185084446,0.008360596725884704,0.02849097947609959
ABCG2,-1.4619135850127143,0.0001714154075911022,0.0030461709890382375
ABO,-1.0638637193904086,0.0032214320919006644,0.01545351569091208
ACADL,-1.2180105987763101,6.609380876466474e-07,5.333969145680669e-05
ACER2,1.0835670137547209,0.0010995976458357045,0.00944880059575141
ACOX2,-1.2066527175322581,0.009893512444048957,0.03213221726422171
ACP3,-1.1070741444073762,1.2886869689722134e-07,1.7620537046450002e-05
ACSF2,-1.6456034078353077,1.4887873737687885e-05,0.0005071286852074425
ACSM1,1.2044628415705088,3.2511725285061883e-09,1.2244372047270585e-06
ACSS3,-1.3046646962073005,1.2512803292877025e-05,0.0004536780420864389
ACTMAP,1.1654293941157228,8.199983855609083e-05,0.0017925565522236271
ADD3,-1.4927573245845291,6.971171118102412e-13,1.6627792265811608e-09
ADGRG1,-1.077840268810828,2.1669741700714635e-05,0.0006702944453735462
ADIRF,-1.00163460703286,0.00045430717416815433,0.0058539088282519615
ADIRF-AS1,-1.1972601412609372,0.0021506314026820557,0.012583157351151729
ADRA1B,1.0385415042050332,0.0012322711843404716,0.009918697230685003
ADSL,1.3964199962557768,1.0601751670525009e-10,7.586260103705346e-08
AFAP1,1.1276329835884467,4.496511926593323e-06,0.00021691375624309858
AFAP1L2,-1.3415700333267881,0.00015856234071786056,0.0028773100322825973
AFM,1.0868824859930195,0.0018701733738087014,0.011801002885229686
AFP,1.0662798622882041,0.0015298695993953052,0.010846335132906419
AGPAT1,-1.081163311238241,0.003055013778390959,0.014993594142825495
AGPAT3,1.1744947665882401,8.668335135817623e-08,1.3501723570836296e-05
AGPAT4,-1.08542400740224,0.0015703626274194546,0.01095399667241547
AGR2,1.3293288747080017,0.0001940414350276394,0.0033174197469878603
AIMP2,1.3364865154076564,5.969709287380011e-06,0.00026682656195705333
AIRIM,1.0242201314708184,3.547644871560838e-06,0.00018440022386875666
AJUBA,-1.609675965662257,4.459718552805701e-07,4.2128620936414266e-05
